question_id,strategy,question,proposed_answer,grounding_0_2,correctness_0_2,cognitive_demand_0_2,clarity_0_2,evidence_or_reason
B01,B — Retrieval,What is the maximum value of sigma'(z) and where is it attained?,"0.25, at z = 0.",2,2.0,0,2,Directly supported; recall.
B02,B — Retrieval,Why is the derivative of the sigmoid bounded above by 0.25?,"Because sigma'(z) = sigma(z)(1 - sigma(z)), which is maximised when sigma(z) = 0.5.",2,2.0,1,2,Requires explaining why the bound occurs.
B03,B — Retrieval,How much can a gradient shrink passing back through ten sigmoid layers?,"By roughly 0.25^10, about one in a million.",2,2.0,0,2,The ten-layer attenuation of roughly 0.25^10 is directly stated in the lecture; recall.
B04,B — Retrieval,What is the derivative of ReLU for a positive input?,Exactly 1.,2,2.0,0,2,Directly stated; recall.
B05,B — Retrieval,Why does ReLU help with vanishing gradients?,"Its derivative is 1 for active units, so it does not attenuate the gradient during backpropagation.",2,2.0,1,2,Requires explaining the mechanism.
B06,B — Retrieval,What is the consequence of vanishing gradients for the early layers of a network?,They receive almost no signal and effectively stop learning.,2,2.0,1,2,Requires interpreting the consequence described in the lecture.
B07,B — Retrieval,State the formula for the sigmoid derivative.,sigma'(z) = sigma(z)(1 - sigma(z)),2,2.0,0,2,Directly stated formula; recall.
B08,B — Retrieval,What causes the vanishing gradient problem?,Saturating activation functions whose bounded derivatives compound multiplicatively through backpropagation.,2,2.0,1,2,Requires explaining the causal mechanism.
B09,B — Retrieval,Which activation function was proposed as the mitigation for vanishing gradients?,ReLU.,2,2.0,0,2,Directly stated; recall.
B10,B — Retrieval,What is the trade-off of using ReLU?,The dying ReLU problem: permanently inactive units.,2,2.0,0,2,Directly stated; recall.
B11,B — Retrieval,What does ReLU output for a negative input?,Zero.,2,2.0,0,2,Directly stated by ReLU definition; recall.
B12,B — Retrieval,Why is the gradient largest around z = 0 for a sigmoid?,"That is where the curve is steepest, before it saturates in either direction.",2,2.0,1,2,Requires interpreting the sigmoid shape and derivative behaviour.
C01,C — Generate → Verify,State the gradient descent update rule and explain the role of the negative sign.,"w <- w - eta * grad_w L(w). The gradient points uphill, so the negative sign moves the parameters downhill.",2,2.0,1,2,Requires both recalling the rule and explaining the negative sign.
C02,C — Generate → Verify,Explain why the vanishing gradient problem is a function of depth rather than simply of network size.,"The attenuation compounds multiplicatively, one activation derivative per layer, so it is the number of layers a gradient traverses that determines the decay.",2,2.0,1,2,Requires explaining the relationship between depth and multiplicative attenuation.
C03,C — Generate → Verify,What would you observe during training if the learning rate were set far too large?,"The loss oscillates or diverges, with each step landing higher than the last.",2,2.0,2,2,Applies the learning-rate concept to an observed training pattern.
C04,C — Generate → Verify,Why is mini-batch gradient descent preferred over full-batch in practice?,It trades some gradient accuracy for far better hardware utilisation and speed.,2,2.0,1,2,Requires explaining the practical trade-off.
C05,C — Generate → Verify,How does momentum address the oscillation of plain gradient descent?,"It accumulates a running average of past gradients, damping oscillation across a valley while accelerating the consistent direction.",2,2.0,1,2,Requires explaining the mechanism and effect of momentum.
C06,C — Generate → Verify,Why does the storage requirement of the forward pass limit model size?,"Backpropagation reuses intermediate values from the forward pass, so they must all be retained, making memory rather than compute the binding constraint.",2,2.0,1,2,Requires explaining the connection between forward-pass storage and backpropagation.
C07,C — Generate → Verify,Distinguish the diagnosis for a loss that is flat from the start versus one that explodes to NaN.,"Flat suggests a learning rate too small or vanishing gradients; exploding suggests a learning rate too large or exploding gradients, addressable with clipping.",2,2.0,2,2,Requires applying the lecture's training-diagnosis framework to two observed patterns.
C08,C — Generate → Verify,Explain why backpropagation is described as the chain rule with bookkeeping.,"Each layer's gradient term is local, depending only on values that layer already computed, so the chain rule can be applied systematically by reusing stored forward-pass values.",2,2.0,1,2,Requires explaining the conceptual interpretation of backpropagation.
